timestamp,breathing_rate (/api/v1/datatype/33/),heart_rate (/api/v1/datatype/19/),minute_ventilation (/api/v1/datatype/36/),cadence (/api/v1/datatype/53/),activity (/api/v1/datatype/49/)
362316183815,15,48,12204.32,0,0.015625
362316184071,15,48,12204.32,0,0.0
362316184327,15,48,12204.32,0,0.015625
362316184583,15,48,11739.52,0,0.0
362316184839,15,49,11739.52,0,0.015625
362316185095,15,49,11739.52,0,0.0
362316185351,15,49,12376.96,0,0.0
362316185607,15,49,12376.96,0,0.015625
362316185863,15,49,12376.96,0,0.0
362316186119,15,49,12376.96,0,0.0
362316186375,15,49,13014.4,0,0.015625
362316186631,15,49,13014.4,0,0.0
362316186887,15,50,13014.4,0,0.0
362316187143,15,50,13014.4,0,0.015625
362316187399,15,50,13014.4,0,0.0
362316187655,15,50,12948.0,0,0.0
362316187911,15,50,12948.0,0,0.0
362316188167,15,50,12948.0,0,0.0
362316188423,15,50,12948.0,0,0.015625
362316188679,15,50,12775.36,0,0.0
362316188935,15,49,12775.36,0,0.015625
362316189191,15,48,12775.36,0,0.015625
362316189447,15,48,12775.36,0,0.0
362316189703,15,48,12509.76,0,0.015625
362316189959,15,48,12509.76,0,0.015625
362316190215,15,48,12509.76,0,0.0
362316190471,15,48,12509.76,0,0.015625
362316190727,15,48,12337.12,0,0.015625
362316190983,15,49,12337.12,0,0.0
362316191239,15,48,12337.12,0,0.015625
362316191495,15,48,12337.12,0,0.0
362316191751,15,48,12217.6,0,0.0
362316192007,15,48,12217.6,0,0.015625
362316192263,15,48,12217.6,0,0.0
362316192519,15,48,12217.6,0,0.015625
362316192775,15,48,11115.36,0,0.0
362316193031,15,48,11115.36,0,0.0
362316193287,14,48,11115.36,0,0.015625
362316193543,14,47,11115.36,0,0.0
362316193799,14,48,10809.92,0,0.0
362316194055,14,47,10809.92,0,0.015625
362316194311,14,46,10809.92,0,0.0
362316194567,14,46,10809.92,0,0.015625
362316194823,14,47,11128.64,0,0.0
362316195079,14,47,11128.64,0,0.0
362316195335,14,48,11128.64,0,0.015625
362316195591,15,48,11128.64,0,0.0
362316195847,15,48,11500.48,0,0.0
362316196103,15,48,11500.48,0,0.015625
362316196359,15,48,11500.48,0,0.0
362316196615,15,48,11500.48,0,0.0
362316196871,15,48,11686.4,0,0.015625
362316197127,15,48,11686.4,0,0.0
362316197383,15,49,11686.4,0,0.015625
362316197639,15,49,11686.4,0,0.0
362316197895,15,49,11686.4,0,0.015625
362316198151,15,49,11925.44,0,0.015625
362316198407,15,49,11925.44,0,0.0
362316198663,15,49,11925.44,0,0.0
362316198919,15,49,12137.92,0,0.0
362316199175,15,49,12137.92,0,0.0
362316199431,15,49,12137.92,0,0.0
362316199687,14,49,12137.92,0,0.0
362316199943,15,49,12536.32,0,0.0
362316200199,15,49,12536.32,0,0.015625
362316200455,15,49,12536.32,0,0.0
362316200711,15,49,12536.32,0,0.0
362316200967,15,49,12788.64,0,0.015625
362316201223,15,49,12788.64,0,0.0
362316201479,15,49,12788.64,0,0.015625
362316201735,15,49,12788.64,0,0.0
362316201991,15,49,12483.2,0,0.0
362316202247,15,49,12483.2,0,0.015625
362316202503,15,49,12483.2,0,0.0
362316202759,15,49,12483.2,0,0.015625
362316203015,15,49,12456.64,0,0.015625
362316203271,15,48,12456.64,0,0.0
362316203527,15,48,12456.64,0,0.0
362316203783,15,48,12456.64,0,0.0
362316204039,15,48,12217.6,0,0.0
362316204295,15,48,12217.6,0,0.015625
362316204551,15,48,12217.6,0,0.015625
362316204807,15,47,12217.6,0,0.0
362316205063,15,47,11925.44,0,0.0
362316205319,15,47,11925.44,0,0.0
362316205575,15,47,11925.44,0,0.0
362316205831,15,47,11925.44,0,0.015625
362316206087,15,47,11938.72,0,0.0
362316206343,15,47,11938.72,0,0.0
362316206599,15,47,11938.72,0,0.015625
362316206855,15,47,11938.72,0,0.0
362316207111,15,47,11938.72,0,0.015625
362316207367,15,46,11673.12,0,0.0
362316207623,15,46,11673.12,0,0.0
362316207879,15,46,11673.12,0,0.015625
362316208135,15,46,11673.12,0,0.0
362316208391,15,46,11420.8,0,0.0
362316208647,15,46,11420.8,0,0.0
362316208903,15,46,11420.8,0,0.0
362316209159,14,46,11553.6,0,0.015625
362316209415,14,46,11553.6,0,0.015625
362316209671,14,46,11553.6,0,0.0
362316209927,15,46,11553.6,0,0.015625
362316210183,15,46,11540.32,0,0.0
362316210439,15,46,11540.32,0,0.0
362316210695,15,46,11540.32,0,0.015625
362316210951,15,46,11540.32,0,0.0
362316211207,15,47,12005.12,0,0.0
362316211463,15,47,12005.12,0,0.015625
362316211719,15,47,12005.12,0,0.0
362316211975,15,47,12005.12,0,0.015625
362316212231,15,47,12098.08,0,0.0
362316212487,15,47,12098.08,0,0.0
362316212743,15,47,12098.08,0,0.015625
362316212999,15,47,12098.08,0,0.0
362316213255,15,47,12058.24,0,0.0
362316213511,15,47,12058.24,0,0.015625
362316213767,15,47,12058.24,0,0.015625
362316214023,15,48,12058.24,0,0.0
362316214279,15,48,12257.44,0,0.015625
362316214535,15,47,12257.44,0,0.0
362316214791,15,47,12257.44,0,0.015625
362316215047,16,47,12257.44,0,0.0
362316215303,16,47,11991.84,0,0.0
362316215559,16,47,11991.84,0,0.015625
362316215815,15,47,11991.84,0,0.0
362316216071,15,47,11991.84,0,0.0
362316216327,15,48,11952.0,0,0.015625
362316216583,15,48,11952.0,0,0.0
362316216839,15,48,11952.0,0,0.015625
362316217095,15,48,11952.0,0,0.015625
362316217351,15,48,12098.08,0,0.0
362316217607,15,48,12098.08,0,0.015625
362316217863,15,48,12098.08,0,0.015625
362316218119,15,47,12098.08,0,0.0
