AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,14:10:30,866660,802931,7.638,48,34,0,100,2286,,,
7/10/14,14:11:00,866709,802898,7.648,48,34,0,100,2311,,,
7/10/14,14:11:30,866642,802759,7.657,48,34,0,100,2268,,,
7/10/14,14:12:00,866594,802637,7.667,48,34,0,100,2286,,,
7/10/14,14:12:30,866661,802623,7.676,49,34,0,100,2197,,,
7/10/14,14:13:00,866710,802593,7.686,48,34,0,100,2223,,,
7/10/14,14:13:30,866641,802459,7.694,49,34,0,100,2025,,,
7/10/14,14:14:00,866659,802400,7.704,48,34,0,100,2232,,,
7/10/14,14:14:30,866725,802385,7.713,49,34,0,100,2199,,,
7/10/14,14:15:00,866761,802353,7.721,49,34,0,100,1888,,,
7/10/14,14:15:30,866736,802256,7.731,48,34,0,100,2179,,,
7/10/14,14:16:00,866765,802212,7.739,48,34,0,100,2090,,,
7/10/14,14:16:30,866638,802023,7.748,48,34,0,100,2109,,,
7/10/14,14:17:00,866654,801965,7.757,48,34,0,100,2149,,,
7/10/14,14:17:30,866650,801890,7.766,49,34,0,100,2061,,,
7/10/14,14:18:00,866652,801810,7.777,48,34,0,100,2416,,,
7/10/14,14:18:30,866678,801761,7.786,48,34,0,100,2156,,,
7/10/14,14:19:00,866692,801703,7.795,49,34,0,100,2052,,,
7/10/14,14:19:30,866688,801631,7.803,49,34,0,100,1975,,,
7/10/14,14:20:00,866723,801590,7.812,49,34,0,100,2122,,,
7/10/14,14:20:30,866712,801511,7.821,49,34,0,100,1991,,,
7/10/14,14:21:00,866751,801479,7.829,49,34,0,100,1969,,,
7/10/14,14:21:30,866741,801399,7.838,49,34,0,100,2047,,,
