time [s],RR_interval_quality [NA](/api/datatype/1004/)
3341.36328125,0
3342.24609375,0
3343.3671875,0
3344.43359375,0
3345.4453125,0
3346.52734375,0
3347.5859375,0
3348.53515625,0
3349.60546875,0
3350.68359375,0
3351.7890625,0
3352.80078125,0
3353.78125,0
3354.75390625,0
3355.66796875,0
3356.54296875,0
3357.51171875,0
3358.4921875,0
3359.3515625,0
3360.2109375,0
3361.08984375,0
3361.89453125,0
3362.6640625,0
3363.484375,0
3364.48828125,0
3365.58984375,0
3366.6328125,0
3367.65625,0
3368.70703125,0
3369.73046875,0
3370.6640625,0
3371.54296875,0
3372.37109375,0
3373.171875,0
3374.015625,0
3374.953125,0
3375.9765625,0
3377.0078125,0
3378.01171875,0
3378.984375,0
3379.92578125,0
3380.91796875,0
3381.765625,0
3382.515625,0
3383.234375,0
3384.0,0
3384.84375,0
3385.6875,0
3386.53125,0
3387.37109375,0
3388.21875,0
3389.0546875,0
3389.8828125,0
3390.69921875,0
3391.4609375,0
3392.18359375,0
3392.90625,0
3393.6640625,0
3394.4609375,0
3395.265625,0
3396.03515625,0
3396.796875,0
3397.57421875,0
3398.3125,0
3399.05078125,0
3399.796875,0
3400.6171875,0
3401.53515625,0
3402.4921875,0
3403.44921875,0
3404.28125,0
3405.00390625,0
3405.73828125,0
3406.48046875,0
3407.29296875,0
3408.0703125,0
3408.8046875,0
3409.640625,0
3410.6171875,0
3411.55859375,0
3412.44921875,0
3413.29296875,0
3414.078125,0
3414.84765625,0
3415.59765625,0
3416.3359375,0
3417.04296875,0
3417.76171875,0
3418.5,0
3419.25,0
3420.01171875,0
3420.81640625,0
3421.625,0
3422.36328125,0
3423.1015625,0
3423.84375,0
3424.6015625,0
3425.3828125,0
3426.13671875,0
3426.87890625,0
3427.69140625,0
3428.54296875,0
3429.3359375,0
3430.09765625,0
3430.8359375,0
3431.53515625,0
3432.2265625,0
3432.9140625,0
3433.56640625,0
3434.234375,0
3434.90234375,0
3435.5859375,0
3436.27734375,0
3436.97265625,0
3437.66015625,0
3438.37890625,0
3439.14453125,0
3439.96484375,0
3440.78515625,0
3441.58984375,0
3442.3671875,0
3443.12890625,0
3443.8671875,0
3444.58984375,0
3445.2890625,0
3445.9765625,0
3446.4765625,128
3447.35546875,0
3447.859375,128
3448.6640625,0
3449.2890625,0
3449.8984375,128
3450.515625,0
3451.15625,0
3451.83984375,0
3452.7109375,128
3453.60546875,128
3454.59375,128
3455.59765625,128
3456.625,128
3457.6015625,0
3458.48828125,0
3459.328125,0
3460.0859375,0
3460.7578125,128
3461.4375,0
3462.10546875,0
3462.77734375,0
3463.4453125,0
3464.109375,0
3464.80078125,0
3465.5390625,0
3466.3125,0
3467.1015625,0
3467.88671875,0
3468.6640625,0
3469.421875,0
3470.16796875,0
3470.92578125,0
3471.6875,0
3472.48046875,0
3472.9765625,128
3474.0859375,128
3474.8203125,0
3475.55859375,0
3476.33203125,0
3477.08203125,0
3477.82421875,0
3478.62890625,0
3479.59375,0
3480.10546875,128
3481.33984375,128
3482.23046875,0
3483.1484375,0
3484.0703125,0
3484.7578125,0
3485.55859375,0
3486.32421875,0
3487.1875,0
3488.03125,0
3488.98046875,0
3489.83984375,0
3490.64453125,0
3491.43359375,0
3492.19921875,0
3492.92578125,0
3493.62109375,0
3494.31640625,0
3495.00390625,0
3495.7109375,0
3496.42578125,0
3497.15625,0
3497.88671875,0
3498.61328125,0
3499.3359375,0
3500.05078125,0
3500.75390625,0
3501.46875,0
3502.17578125,0
3502.953125,0
3503.44921875,128
3504.4609375,128
3505.15625,0
3505.83984375,0
3506.5078125,0
3507.16796875,0
3507.83203125,0
3508.515625,0
3509.03515625,128
3509.90234375,128
3510.55859375,0
3511.21484375,0
3511.87109375,0
3512.5390625,0
3513.05078125,128
3513.87890625,0
3514.4921875,0
3515.09375,0
3515.6875,0
3516.28125,0
3516.86328125,0
3517.44140625,0
3518.05078125,0
3518.69140625,0
3519.40625,0
3520.1484375,0
3520.890625,0
3521.63671875,128
3522.3828125,128
3523.0859375,0
3523.7734375,0
3524.44140625,0
3525.1015625,0
3525.734375,0
3526.359375,0
3526.97265625,0
3527.58203125,0
3528.1640625,0
3528.7421875,0
3529.3203125,0
3529.90234375,0
3530.49609375,0
3531.09375,0
3531.72265625,0
3532.421875,0
3533.21875,0
3534.0078125,0
3534.765625,128
3535.5078125,128
3536.28125,128
3537.078125,128
3537.8828125,0
3538.6328125,0
3539.375,0
3540.140625,0
3540.95703125,0
3541.79296875,0
3542.61328125,0
3543.4296875,0
3544.26953125,0
3545.04296875,0
3545.78125,0
3546.52734375,0
3547.296875,0
3548.0703125,0
3548.890625,0
3549.7734375,0
3550.703125,1
3551.68359375,1
3552.58203125,1
3553.43359375,1
3553.73828125,129
3554.23046875,129
3555.015625,1
3555.5234375,129
3555.8046875,129
3556.68359375,1
3556.98046875,129
3557.61328125,1
3558.60546875,1
3559.53515625,1
3560.38671875,0
3561.21875,0
3562.0,0
3562.76953125,0
3563.57421875,0
3564.453125,0
3565.33203125,0
3566.1953125,0
3567.07421875,0
3567.98828125,0
3568.83984375,0
3569.62890625,0
3570.39453125,0
3571.20703125,0
3572.3359375,128
3573.43359375,128
3574.50390625,128
3575.69921875,128
3576.84765625,128
3577.9140625,0
3579.0390625,0
3580.203125,0
3581.23828125,0
3582.234375,0
3583.30078125,0
3584.3984375,0
3585.4140625,0
3586.53515625,0
3587.69921875,0
3588.73046875,0
3589.796875,0
3590.921875,0
3592.06640625,0
3593.21875,0
3594.21484375,0
3595.21875,0
3596.2734375,0
3597.37890625,0
3598.5078125,0
3599.50390625,0
3600.58203125,0
3601.65234375,0
3602.54296875,0
3603.40234375,0
3604.20703125,128
3605.1171875,0
3606.109375,0
3606.93359375,0
3607.72265625,0
3608.52734375,1
3609.33984375,1
3610.12890625,1
3610.90234375,1
3611.69921875,1
3612.09765625,129
3612.515625,129
3613.31640625,1
3614.12890625,1
3614.94921875,1
3615.74609375,1
3616.55078125,1
3617.35546875,1
3618.15625,1
3618.93359375,1
3619.69140625,1
3620.4296875,1
3621.13671875,1
3621.8359375,1
3622.53125,1
3623.22265625,1
3623.9140625,1
3624.6015625,0
3625.3046875,0
3626.01171875,0
3626.7421875,0
3627.48046875,0
3628.22265625,0
3628.9609375,0
3629.703125,0
3630.46484375,1
3631.2265625,1
3632.01171875,1
3632.80078125,1
3633.58203125,1
3634.33984375,1
3634.62890625,129
3635.08203125,129
3635.8046875,1
3636.5546875,1
3637.29296875,1
3638.07421875,1
3638.9375,1
3639.73046875,1
3640.515625,1
3641.33203125,1
3641.84765625,129
3642.1796875,129
3642.98046875,1
3643.78125,1
3644.6015625,1
3645.390625,1
3645.84375,129
3646.26953125,129
3647.04296875,1
3647.671875,1
3648.390625,1
3649.09375,1
3649.77734375,1
3650.44921875,1
3651.125,1
3651.8359375,1
3652.71875,1
3653.5390625,1
3654.41015625,1
3655.46484375,129
3656.484375,129
3657.359375,129
3658.16796875,1
3659.0,1
3659.83984375,1
3660.671875,1
3661.5,1
3662.31640625,1
3663.15625,1
3664.0,1
3664.56640625,129
3665.578125,1
3666.25,1
3666.51953125,129
3666.921875,129
3667.60546875,1
3668.265625,1
3668.8828125,1
3669.62109375,1
3670.30078125,1
3671.01953125,1
3671.859375,1
3672.33203125,129
3673.14453125,1
3674.01953125,1
3674.73828125,1
3675.4375,1
3676.12890625,1
3676.8125,1
3677.51171875,1
3678.18359375,1
3678.87890625,1
3679.21484375,129
3679.5390625,129
3680.25390625,1
3680.8671875,1
3681.51171875,1
3681.88671875,129
3682.15625,129
3682.8125,1
3683.4296875,1
3684.08203125,1
3684.703125,1
3685.2265625,129
3685.73828125,129
3686.0234375,129
3686.796875,1
3687.1796875,129
3687.54296875,129
3687.9140625,129
3688.21875,129
3688.54296875,129
3688.88671875,1
3689.578125,1
3690.41015625,1
3690.99609375,1
3691.46484375,1
3692.33203125,129
3692.6171875,129
3692.9921875,1
3693.6484375,129
