time [s],NN_interval [s/256](/api/datatype/318/)
18578.71484375,265
18579.6484375,239
18580.65625,258
18582.95703125,291
18585.26171875,301
18586.41015625,294
18587.55859375,294
18588.68359375,288
18589.88671875,308
18592.40625,320
18596.91796875,284
18599.09375,302
18601.53515625,307
18603.88671875,307
18605.07421875,304
18606.109375,265
18609.42578125,272
18611.58984375,297
18616.90234375,255
18620.015625,266
18621.9453125,257
18623.98828125,253
18625.82421875,239
18626.69140625,222
18627.48828125,204
18628.2578125,197
18633.88671875,299
18640.609375,294
18644.09375,269
18648.28125,274
18649.40234375,287
18651.94921875,311
18654.265625,308
18657.53125,282
18659.875,286
18662.01953125,290
18665.9921875,231
18667.88671875,238
18668.83203125,242
18669.859375,263
18670.79296875,239
18672.66015625,227
18674.2421875,199
18676.75390625,214
18677.65625,231
18678.59765625,241
18679.46875,223
18680.421875,244
18682.5546875,274
18686.60546875,251
18688.5078125,259
18690.75390625,255
18698.2890625,270
18699.2890625,256
18700.35546875,273
18702.4765625,255
18705.7109375,274
18706.66796875,245
18707.75,277
18710.0546875,286
18712.28125,294
18714.4453125,262
18715.58984375,293
18717.91015625,278
18725.76171875,269
18731.5234375,317
18739.53125,286
18741.70703125,272
18742.76953125,272
18747.26171875,284
18749.484375,280
18751.5390625,273
18753.703125,260
18755.7734375,271
18757.890625,253
18768.51953125,257
18769.4296875,233
18770.578125,294
18777.04296875,282
18779.3203125,316
18783.94140625,284
18785.05859375,286
18786.1484375,279
18787.171875,262
18788.3203125,294
18790.7109375,302
18792.90234375,287
18795.07421875,268
18797.12109375,285
18799.50390625,275
18805.28125,311
18809.83984375,300
18812.109375,271
18815.66015625,298
18818.0234375,322
18823.9375,297
18825.00390625,273
18826.19140625,304
18828.5078125,285
18831.92578125,283
18832.93359375,258
18834.09765625,298
18836.5625,308
18838.90625,312
18865.484375,326
18866.6484375,298
18872.6796875,322
18883.65234375,297
18885.98828125,314
18891.96484375,300
18894.2109375,304
18896.57421875,282
18900.18359375,306
18902.4609375,303
18905.6875,281
18907.71484375,249
18908.67578125,246
18911.8515625,255
18915.05078125,258
18916.1015625,269
18918.36328125,292
18922.72265625,278
18924.84765625,282
18927.0078125,259
18930.43359375,286
18932.6484375,303
18940.47265625,303
18942.81640625,289
18945.05078125,294
18947.27734375,272
18949.43359375,290
18951.63671875,270
18953.7734375,289
18956.0234375,278
18958.14453125,272
18959.21484375,274
18960.2421875,263
18961.41796875,301
18967.921875,273
18969.0859375,298
18971.43359375,294
18973.59375,286
18975.83203125,271
18982.5,288
18983.62109375,287
18984.6484375,263
18985.89453125,319
18991.80859375,289
18994.15625,304
18995.28125,288
18997.42578125,280
18998.45703125,264
