time [s],inspiration [s](/api/datatype/34/)
16534.8515625,26926
16558.765625,26876
16562.390625,26882
16566.3984375,26883
16569.8203125,26884
16573.4921875,26884
16577.4375,26883
16580.984375,26881
16584.3359375,26884
16588.5859375,26885
16593.75,26887
16598.0390625,26882
16601.765625,26881
16605.90625,26881
16621.0703125,26932
16624.34375,26900
16628.7109375,26925
16631.953125,26935
16657.828125,26879
16661.5703125,26891
16665.375,26886
16669.0859375,26884
16673.0390625,26886
16675.8984375,26864
16682.15625,26903
16687.3671875,26902
16690.09375,26943
16693.3359375,26961
16701.671875,26888
16706.3359375,26934
16710.640625,26930
16726.015625,26909
16729.796875,26909
16733.5078125,26911
16737.703125,26910
16742.4609375,26904
16745.0625,26904
16748.7734375,26886
16753.390625,26932
16756.7265625,26903
16762.2265625,26908
16766.2890625,26892
16769.9765625,26892
16782.890625,27028
16784.765625,26936
16796.5546875,26998
16800.5625,26987
16808.0,26914
16837.1015625,27008
16844.03125,26869
16850.953125,26862
16855.1953125,26862
16860.6796875,26985
16867.8671875,26974
16876.6953125,26870
16880.7265625,26866
16884.640625,26867
16888.4453125,26865
16894.2265625,26994
16898.359375,26991
16905.953125,26901
16910.078125,26882
16918.59375,26875
16922.671875,26877
16927.0234375,26882
16930.7734375,26875
16934.875,26875
16937.890625,26883
16942.1328125,26883
16946.140625,26882
16950.15625,26877
16953.75,26876
16956.515625,26877
16961.515625,26875
16965.1015625,26876
16969.03125,26875
16973.4375,26875
16977.265625,26876
16981.2109375,26878
16985.6328125,26875
16989.4921875,26880
16993.640625,26878
16997.296875,26877
17001.296875,26885
17005.4453125,26878
17009.109375,26883
17012.09375,26881
17016.703125,26883
17020.609375,26881
17024.5625,26882
17028.296875,26879
17031.6171875,26875
17035.203125,26886
17040.4296875,26886
17043.9375,26882
17047.078125,26877
17051.140625,26878
17054.7578125,26885
17059.03125,26888
17062.7890625,26881
17066.65625,26881
17071.3828125,26874
17074.9140625,26872
17078.9609375,26872
17083.296875,26871
17087.6328125,26872
17090.5546875,26872
17095.09375,26872
17099.15625,26880
17102.8203125,26877
17106.296875,26872
17110.3515625,26870
17116.7890625,27003
17121.65625,27010
17126.0234375,27011
17129.578125,27012
17133.625,27015
17137.8125,27014
17140.9453125,27022
17144.984375,27015
17148.8828125,27017
17151.3359375,27002
17156.328125,26875
17159.8671875,26889
17163.703125,26873
17168.6328125,26873
17172.6953125,26870
17176.6171875,26869
17181.265625,26870
17185.6171875,26871
17189.796875,26875
17192.9375,26871
17197.4140625,26872
17201.640625,26874
17205.265625,26873
17210.140625,26873
17214.4609375,26874
17218.5703125,26874
17221.8984375,26874
17226.3671875,26880
17229.9140625,26880
17234.0390625,26879
17237.4140625,26879
17241.140625,26876
17246.109375,26877
17249.875,26878
17253.7578125,26878
17257.3125,26879
17260.9921875,26887
17265.2109375,26872
17268.8203125,26876
17272.8046875,26874
17277.046875,26868
17281.234375,26868
17286.0078125,26882
17289.8203125,26867
17293.09375,26869
17297.4609375,26874
17301.6796875,26871
17305.25,26877
17310.1171875,26871
17313.9765625,26871
17317.828125,26871
17321.625,26870
17325.671875,26870
17329.6796875,26871
17333.5625,26869
17337.546875,26870
17341.625,26870
17345.390625,26870
17349.4296875,26870
17353.296875,26870
17357.171875,26876
17360.9921875,26871
17365.4375,26873
17370.0390625,26876
17375.7890625,26881
17380.046875,26870
17384.140625,26870
17388.296875,26873
17392.0078125,26874
17396.125,26871
17400.40625,26873
17404.5078125,26873
17409.578125,26870
17414.3515625,26867
17418.4140625,26871
17422.5703125,26874
17426.765625,26879
17431.4765625,26879
17435.4296875,26874
17440.1015625,26873
17444.0625,26878
17447.9375,26877
17451.6796875,26877
17455.328125,26876
17459.6328125,26879
17463.53125,26878
17467.8203125,26876
17472.0546875,26877
17476.03125,26876
17479.75,26875
17483.8984375,26873
17487.9296875,26875
17492.46875,26877
17496.359375,26876
17500.8203125,26877
17505.203125,26880
17508.5,26881
17512.15625,26881
17515.1875,26880
17519.734375,26878
17523.8359375,26877
17527.3515625,26877
17530.75,26879
17534.21875,26880
17538.25,26881
17542.5859375,26882
17546.5390625,26875
17549.9921875,26875
17554.2734375,26880
17558.8203125,26883
17561.8984375,26876
17565.2734375,26872
17570.3046875,26875
17573.75,26874
17576.6953125,26880
17580.9375,26874
17584.9296875,26876
17589.328125,26864
17593.25,26864
17597.71875,26864
17601.9765625,26864
17606.25,26864
17610.53125,26865
17614.390625,26865
17617.96875,26864
17622.9375,26865
17626.9296875,26858
17644.2265625,26865
17655.1015625,26857
17658.5078125,26857
17663.546875,26862
17667.3359375,26855
17670.59375,26857
17674.546875,26857
17678.3515625,26859
17681.6015625,26860
17685.2109375,26861
17688.5078125,26863
17692.796875,26858
17696.8203125,26858
17700.796875,26858
17704.8125,26858
17709.21875,26858
17712.625,26859
17716.21875,26861
17721.0625,26862
17725.203125,26861
17728.2421875,26862
17732.375,26860
17737.0390625,26861
17740.890625,26862
17744.96875,26861
17748.7578125,26863
17752.8359375,26863
17756.453125,26864
17760.4296875,26863
17764.171875,26862
17768.6796875,26864
17773.1328125,26862
17776.9375,26864
17780.4296875,26861
17784.6796875,26863
17788.5078125,26863
17792.84375,26864
17796.6875,26864
17801.4375,26863
17805.4140625,26863
17809.1953125,26865
17813.4296875,26862
17817.4453125,26862
17821.359375,26863
17824.6328125,26862
17828.46875,26866
17831.9921875,26862
17835.4375,26863
17839.1875,26863
17843.3828125,26865
17847.328125,26865
17856.234375,26849
17860.2890625,26857
17864.609375,26859
17868.7734375,26855
17872.1875,26863
17878.09375,26857
17880.6875,26980
17884.4609375,26870
17889.5,26870
17892.796875,26873
17896.53125,26872
17900.234375,26868
17903.6796875,26875
17908.8671875,26859
17912.5390625,26859
17916.734375,26860
17921.3203125,26857
17924.8515625,26862
17928.7890625,26861
17932.8203125,26866
17937.125,26859
17942.578125,26868
17945.796875,26863
17950.4140625,26881
17954.9765625,26865
17958.796875,26866
17963.1015625,26866
17969.5625,26873
17975.7421875,26864
17979.40625,26859
17983.9375,26859
17988.296875,26899
17991.7265625,26900
17995.5703125,26867
18001.0390625,26848
18005.203125,26845
18009.671875,26851
18013.7265625,26845
18017.5,26844
18021.46875,26843
18025.3671875,26849
18029.1640625,26848
18032.8828125,26849
18036.390625,26848
18040.0625,26846
18043.609375,26837
18047.96875,26836
18051.7265625,26838
18056.3359375,26840
18060.3125,26855
18084.65625,26831
18089.265625,26833
18093.4921875,26835
18097.7265625,26837
18101.109375,26834
18105.234375,26835
18108.8203125,26834
18114.765625,26837
18118.9375,26836
18122.7109375,26836
18126.515625,26836
18130.3359375,26834
18134.15625,26840
18137.9765625,26834
18142.109375,26842
18145.453125,26841
18150.203125,26841
18154.8203125,26839
18158.4765625,26839
18161.71875,26835
18166.0234375,26845
18169.328125,26845
18172.9140625,26838
18175.90625,26842
18180.2109375,26841
18184.3359375,26849
18187.3671875,26843
18192.2578125,26839
18195.90625,26841
18199.7265625,26838
