time [s],inspiration_epoch [na] (/api/datatype/34/)
10538.00000000,16178
10538.00000000,16177
10539.00000000,16181
10540.00000000,16180
10541.00000000,16182
10542.00000000,16174
10543.00000000,16187
10544.00000000,16165
10545.00000000,16179
10546.00000000,16165
10547.00000000,16165
10548.00000000,16152
10549.00000000,16155
10550.00000000,16167
10551.00000000,16171
10552.00000000,16176
10553.00000000,16176
10554.00000000,16180
10555.00000000,16171
10556.00000000,16171
10557.00000000,16179
10558.00000000,16170
10559.00000000,16176
10560.00000000,16175
10561.00000000,16170
10562.00000000,16179
10563.00000000,16172
10564.00000000,16175
10565.00000000,16175
10566.00000000,16173
10567.00000000,16168
10568.00000000,16170
10569.00000000,16175
10570.00000000,16174
10571.00000000,16175
10572.00000000,16179
10573.00000000,16178
10574.00000000,16181
10575.00000000,16174
10576.00000000,16172
10577.00000000,16177
10578.00000000,16167
10579.00000000,16154
10580.00000000,16162
10581.00000000,16172
10582.00000000,16171
10583.00000000,16168
10584.00000000,16176
10584.00000000,16165
10585.00000000,16173
10586.00000000,16166
10587.00000000,16164
10588.00000000,16167
10589.00000000,16166
10590.00000000,16172
10591.00000000,16172
10592.00000000,16173
10593.00000000,16169
10594.00000000,16170
10595.00000000,16173
10596.00000000,16165
10597.00000000,16168
10597.00000000,16173
10598.00000000,16165
10599.00000000,16154
10599.00000000,16160
10600.00000000,16173
10601.00000000,16161
10602.00000000,16157
10602.00000000,16167
10603.00000000,16149
10604.00000000,16166
10605.00000000,16168
10606.00000000,16161
10606.00000000,16166
10607.00000000,16153
10608.00000000,16148
10608.00000000,16158
10609.00000000,16165
10610.00000000,16170
10611.00000000,16167
10612.00000000,16154
10613.00000000,16153
10616.00000000,16146
10618.00000000,16144
10622.00000000,16151
10623.00000000,16154
10625.00000000,16151
10627.00000000,16159
10629.00000000,16164
10635.00000000,16261
10636.00000000,16256
10644.00000000,16262
10647.00000000,16264
10652.00000000,16264
10654.00000000,16262
10659.00000000,16267
10663.00000000,16157
10667.00000000,16163
10671.00000000,16159
10676.00000000,16161
10679.00000000,16162
10681.00000000,16159
10683.00000000,16148
10685.00000000,16158
10688.00000000,16157
10689.00000000,16152
10693.00000000,16153
10696.00000000,16155
10698.00000000,16152
10701.00000000,16159
10706.00000000,16160
10712.00000000,16158
10717.00000000,16158
10727.00000000,16153
10735.00000000,16172
10738.00000000,16157
10742.00000000,16159
10746.00000000,16164
10757.00000000,16164
10760.00000000,16164
10765.00000000,16150
10768.00000000,16161
10773.00000000,16157
10779.00000000,16205
10782.00000000,16196
10785.00000000,16179
10791.00000000,16183
10796.00000000,16186
10798.00000000,16184
10801.00000000,16214
10803.00000000,16145
10805.00000000,16158
10807.00000000,16123
10809.00000000,16131
10811.00000000,16140
10812.00000000,16133
10813.00000000,16128
10814.00000000,16122
10814.00000000,16137
10815.00000000,16140
10815.00000000,16144
10817.00000000,16145
10817.00000000,16139
10818.00000000,16151
10818.00000000,16149
10819.00000000,16150
10820.00000000,16147
10820.00000000,16155
10821.00000000,16156
10822.00000000,16151
10822.00000000,16151
10823.00000000,16144
10823.00000000,16146
10824.00000000,16132
10826.00000000,16137
10832.00000000,16142
10833.00000000,16147
10836.00000000,16147
10837.00000000,16141
10838.00000000,16151
10839.00000000,16149
10841.00000000,16150
10842.00000000,16156
10843.00000000,16161
10844.00000000,16152
10845.00000000,16139
10846.00000000,16138
10846.00000000,16137
10847.00000000,16148
10847.00000000,16143
10849.00000000,16143
10849.00000000,16149
10850.00000000,16142
10852.00000000,16147
10853.00000000,16137
10854.00000000,16140
10854.00000000,16150
10855.00000000,16148
10856.00000000,16144
10857.00000000,16151
10858.00000000,16144
10858.00000000,16152
10859.00000000,16154
10860.00000000,16155
10861.00000000,16147
10862.00000000,16157
10864.00000000,16171
10865.00000000,16164
10865.00000000,16173
10867.00000000,16178
10867.00000000,16169
10868.00000000,16181
10869.00000000,16190
10869.00000000,16194
10870.00000000,16162
10871.00000000,16174
10872.00000000,16170
10872.00000000,16173
10873.00000000,16155
10874.00000000,16136
10875.00000000,16145
10876.00000000,16147
10876.00000000,16146
10877.00000000,16151
10877.00000000,16146
10878.00000000,16152
10879.00000000,16142
10880.00000000,16145
10880.00000000,16137
10881.00000000,16136
10881.00000000,16135
10883.00000000,16143
10884.00000000,16141
10885.00000000,16131
