time [s],heart_rate [bpm] (/api/datatype/19/)
28438.00000000,71
28439.00000000,71
28440.00000000,30
28441.00000000,30
28442.00000000,30
28443.00000000,30
28444.00000000,34
28445.00000000,36
28446.00000000,36
28447.00000000,40
28448.00000000,45
28449.00000000,49
28450.00000000,54
28451.00000000,57
28452.00000000,59
28453.00000000,63
28454.00000000,65
28455.00000000,67
28456.00000000,68
28457.00000000,84
28458.00000000,85
28459.00000000,85
28460.00000000,85
28461.00000000,91
28462.00000000,91
28463.00000000,93
28464.00000000,94
28465.00000000,94
28466.00000000,97
28467.00000000,96
28468.00000000,95
28469.00000000,93
28470.00000000,93
28471.00000000,93
28472.00000000,86
28473.00000000,86
28474.00000000,77
28475.00000000,76
28476.00000000,77
28477.00000000,77
28478.00000000,77
28479.00000000,77
28480.00000000,77
28481.00000000,77
28482.00000000,83
28483.00000000,86
28484.00000000,87
28485.00000000,87
28486.00000000,79
28487.00000000,78
28488.00000000,75
28489.00000000,73
28490.00000000,73
28491.00000000,74
28492.00000000,75
28493.00000000,75
28494.00000000,75
28495.00000000,73
28496.00000000,73
28497.00000000,76
28498.00000000,71
28499.00000000,66
28500.00000000,66
28501.00000000,66
28502.00000000,72
28503.00000000,72
28504.00000000,72
28505.00000000,79
28506.00000000,79
28507.00000000,79
28508.00000000,86
28509.00000000,86
28510.00000000,86
28511.00000000,86
28512.00000000,86
28513.00000000,77
28514.00000000,77
28515.00000000,77
28516.00000000,77
28517.00000000,66
28518.00000000,66
28519.00000000,66
28520.00000000,66
28521.00000000,66
28522.00000000,66
28523.00000000,66
28524.00000000,70
28525.00000000,68
28526.00000000,68
28527.00000000,68
28528.00000000,69
28529.00000000,68
28530.00000000,68
28531.00000000,68
28532.00000000,64
28533.00000000,63
28534.00000000,63
28535.00000000,63
28536.00000000,63
28537.00000000,63
28538.00000000,63
28539.00000000,61
28540.00000000,61
28541.00000000,61
28542.00000000,61
28543.00000000,54
28544.00000000,54
28545.00000000,54
28546.00000000,54
28547.00000000,54
28548.00000000,54
28549.00000000,78
28550.00000000,124
28551.00000000,124
